,tconst,original_title,start_year,runtime_minutes,genres,budget,ww_gross
34528,tt5591666,The Domestics,2018,95.0,"Action,Horror,Sci-Fi","{'amount': 10600000.0, 'currency': 'USD'}",59766.0
34533,tt5592248,The Beguiled,2017,93.0,"Drama,Thriller","{'amount': 10500000.0, 'currency': 'USD'}",27869129.0
34574,tt5598206,Command and Control,2016,92.0,"Documentary,History",,57635.0
34577,tt5598292,Polaroid,2019,88.0,"Drama,Horror,Thriller",,1772204.0
34582,tt5599520,Night School,2016,85.0,Documentary,,4663.0
34594,tt5601792,The Meanest Man in Texas,2017,105.0,"Biography,Drama,History",,8850.0
34616,tt5607096,"Juliet, Naked",2018,97.0,"Comedy,Drama,Music",,4511157.0
34635,tt5610554,Tully,2018,95.0,"Comedy,Drama,Mystery","{'amount': 13000000.0, 'currency': 'USD'}",15636462.0
34656,tt5613484,Mid90s,2018,85.0,"Comedy,Drama","{'amount': 10000000.0, 'currency': 'USD'}",9303022.0
34664,tt5615222,Call Her Applebroog,2016,70.0,Documentary,,4842.0
34691,tt5619332,Life of the Party,2018,105.0,Comedy,"{'amount': 30000000.0, 'currency': 'USD'}",65859911.0
34692,tt5619338,Company Town,2016,90.0,Documentary,,4934.0
34721,tt5629964,The Midnight Man,2016,95.0,Horror,,2930680.0
34726,tt5630752,Fourplay,2018,77.0,"Comedy,Drama",,3550.0
34766,tt5639446,Jonathan,2018,95.0,"Drama,Sci-Fi",,41558.0
34769,tt5639898,Social Animals,2018,90.0,Comedy,,5007.0
34783,tt5644050,Pick of the Litter,2018,80.0,Documentary,,763688.0
34787,tt5645932,Beautifully Broken,2018,108.0,Drama,,1271572.0
34790,tt5646136,Hillary's America: The Secret History of the Democratic Party,2016,106.0,"Biography,Documentary,History","{'amount': 5000000.0, 'currency': 'USD'}",13099931.0
34800,tt5647942,Sacred,2016,87.0,Documentary,,17740.0
34807,tt5649108,Thoroughbreds,2017,92.0,"Comedy,Crime,Drama","{'amount': 6000000.0, 'currency': 'USD'}",3187255.0
34808,tt5649144,The Florida Project,2017,111.0,Drama,"{'amount': 2000000.0, 'currency': 'USD'}",10971298.0
34833,tt5655222,The Hero,2017,96.0,"Drama,Romance","{'amount': 1200000.0, 'currency': 'USD'}",4101699.0
34845,tt5657846,Daddy's Home Two,2017,100.0,Comedy,"{'amount': 69000000, 'currency': 'USD'}",180613824.0
34846,tt5657856,Brawl in Cell Block 99,2017,132.0,"Action,Crime,Drama",,64453.0
34853,tt5658242,Humor Me,2017,93.0,Comedy,,40099.0
34873,tt5662550,Dead Trigger,2017,91.0,"Action,Horror,Sci-Fi",,151493.0
34888,tt5664636,Goosebumps 2: Haunted Halloween,2018,90.0,"Adventure,Comedy,Family","{'amount': 35000000, 'currency': 'USD'}",93320380.0
34889,tt5664676,"We Love You, Sally Carmichael!",2017,84.0,Comedy,,113435.0
34901,tt5666304,The Little Hours,2017,90.0,"Comedy,Romance",,1647175.0
34909,tt5667482,Izzie's Way Home,2016,74.0,"Adventure,Animation",,64112.0
34928,tt5670152,Traffik,2018,96.0,"Action,Crime,Drama","{'amount': 4000000.0, 'currency': 'USD'}",9515914.0
34930,tt5670364,Saving Flora,2018,95.0,"Adventure,Drama,Family",,147941.0
34951,tt5673714,First We Take Brooklyn,2018,91.0,"Crime,Drama",,42812.0
34996,tt5685652,An L.A. Minute,2018,86.0,Comedy,,5004.0
35003,tt5687814,Golden Exits,2017,94.0,Drama,,41888.0
35009,tt5688868,Primal Rage,2018,106.0,"Action,Adventure,Horror",,73383.0
35011,tt5688932,Sorry to Bother You,2018,111.0,"Comedy,Fantasy,Sci-Fi","{'amount': 3200000.0, 'currency': 'USD'}",18170707.0
35013,tt5689068,Killing Gunther,2017,92.0,"Action,Comedy",,197616.0
35019,tt5690360,Slender Man,2018,93.0,"Horror,Mystery,Thriller","{'amount': 10000000, 'currency': 'USD'}",51738549.0
35030,tt5691670,Under the Silver Lake,2018,139.0,"Comedy,Crime,Drama","{'amount': 8500000.0, 'currency': 'USD'}",2053469.0
35041,tt5696326,Running for Grace,2018,110.0,"Adventure,Family,Romance",,89988.0
35061,tt5700182,Starfish,2018,99.0,"Drama,Horror,Sci-Fi",,15849.0
35070,tt5702446,God Bless the Broken Road,2018,111.0,"Drama,Family,Romance",,2848233.0
35085,tt5706370,Three Christs,2017,117.0,Drama,,36723.0
35091,tt5709188,A-X-L,2018,98.0,"Action,Adventure,Family","{'amount': 10000000.0, 'currency': 'USD'}",8467697.0
35097,tt5709852,All the Queen's Horses,2017,70.0,Documentary,"{'amount': 450000.0, 'currency': 'USD'}",16172.0
35105,tt5710688,Wait for Your Laugh,2017,85.0,"Comedy,Documentary",,73585.0
35114,tt5711672,Getting Grace,2017,112.0,"Comedy,Drama",,217812.0
35129,tt5713994,Half the Picture,2018,94.0,Documentary,,21589.0
35163,tt5718046,An Actor Prepares,2018,97.0,Comedy,,5891.0
35164,tt5718290,Germans & Jews,2016,76.0,Documentary,,38100.0
35165,tt5718456,Not Without Us,2016,72.0,Documentary,,1783.0
35169,tt5719076,Dead Night,2017,86.0,"Fantasy,Horror",,23751.0
35174,tt5719700,Home Again,2017,97.0,"Comedy,Drama,Romance","{'amount': 12000000, 'currency': 'USD'}",37270721.0
35181,tt5721088,Just Getting Started,2017,91.0,"Action,Comedy","{'amount': 22000000, 'currency': 'USD'}",7634022.0
35187,tt5722516,Kuleana,2017,95.0,"Drama,Mystery",,33953.0
35206,tt5726086,Insidious: The Last Key,2018,103.0,"Horror,Mystery,Thriller","{'amount': 10000000, 'currency': 'USD'}",167885588.0
35226,tt5730882,They Call Us Monsters,2016,82.0,Documentary,,26080.0
35242,tt5734576,The Possession of Hannah Grace,2018,86.0,"Horror,Mystery,Thriller","{'amount': 7700000, 'currency': 'USD'}",43016528.0
35243,tt5734820,Rio,2017,87.0,Drama,,484600000.0
35244,tt5735280,It Stains the Sands Red,2016,92.0,"Drama,Horror,Sci-Fi",,3599.0
35254,tt5737536,Future World,2018,90.0,"Action,Adventure,Sci-Fi",,163313.0
35258,tt5737862,Landline,2017,97.0,"Comedy,Drama",,940854.0
35263,tt5738152,Stronger,2017,125.0,Drama,"{'amount': 150000.0, 'currency': 'USD'}",8400000.0
35315,tt5748392,Escape Room,2017,86.0,Horror,,2595495.0
35324,tt5749696,Serena,2016,95.0,"Biography,Documentary,Sport",,5076000.0
35333,tt5752360,The Female Brain,2017,98.0,Comedy,,21786.0
35346,tt5755280,Cynthia,2018,89.0,"Comedy,Horror",,58177.0
35349,tt5757874,Pegasus: Pony with a Broken Wing,2019,86.0,Family,,124732.0
35355,tt5758404,Step,2017,84.0,Documentary,,1152839.0
35357,tt5758778,Skyscraper,2018,102.0,"Action,Adventure,Thriller","{'amount': 125000000, 'currency': 'USD'}",304868961.0
35420,tt5770620,The Lovers,2017,97.0,"Comedy,Drama,Romance",,2216083.0
35421,tt5770864,The Man from Earth: Holocene,2017,98.0,"Drama,Fantasy,Sci-Fi",,5472.0
35443,tt5773986,Studio 54,2018,98.0,"Documentary,History",,227062.0
35466,tt5776858,Phantom Thread,2017,130.0,"Drama,Romance","{'amount': 35000000.0, 'currency': 'USD'}",47756590.0
35476,tt5777992,Theo Who Lived,2016,86.0,Documentary,,11271.0
35484,tt5779372,An Interview with God,2018,97.0,"Drama,Mystery",,2251795.0
35486,tt5779540,Dear Dictator,2017,90.0,Comedy,"{'amount': 6700000.0, 'currency': 'USD'}",9759.0
35517,tt5788136,The Institute,2017,90.0,Thriller,"{'amount': 3000000.0, 'currency': 'USD'}",31634.0
35520,tt5788528,On the Map,2016,85.0,Documentary,,17099.0
35546,tt5792490,Antonio Lopez 1970: Sex Fashion & Disco,2017,95.0,"Biography,Documentary",,73122.0
35558,tt5795086,Gemini,2017,93.0,"Crime,Drama,Mystery",,200340.0
35559,tt5795282,This Changes Everything,2018,97.0,Documentary,,125348.0
35589,tt5804314,Let There Be Light,2017,100.0,Drama,"{'amount': 3000000.0, 'currency': 'USD'}",7241302.0
35596,tt5805752,Brigsby Bear,2017,97.0,"Comedy,Drama",,681632.0
35597,tt5805768,Abe,2019,85.0,Family,,28657.0
35655,tt5814060,The Nun,2018,96.0,"Horror,Mystery,Thriller","{'amount': 22000000, 'currency': 'USD'}",365551694.0
35675,tt5816374,Band Aid,2017,91.0,"Comedy,Drama,Music",,248370.0
35724,tt5825380,Wonder Wheel,2017,101.0,Drama,"{'amount': 25000000.0, 'currency': 'USD'}",15889124.0
35736,tt5827916,A Hidden Life,2019,173.0,"Biography,Drama,War",,4607564.0
35740,tt5829040,Fun Mom Dinner,2017,81.0,Comedy,,332886.0
35761,tt5833186,Last Rampage: The Escape of Gary Tison,2017,93.0,"Crime,Drama,Mystery",,12944.0
35770,tt5834760,Look Away,2018,103.0,"Horror,Thriller",,1119537.0
35777,tt5835100,Facing Darkness,2017,93.0,"Documentary,Drama",,555533.0
35780,tt5836316,Dog Years,2017,94.0,Drama,,14410.0
35786,tt5836866,The Work,2017,89.0,Documentary,,20554.0
35803,tt5840448,Rat Film,2016,82.0,Documentary,,35195.0
35813,tt5843574,The Pulitzer at 100,2016,91.0,Documentary,,4489.0
35815,tt5843670,The Stakelander,2016,81.0,"Action,Drama,Horror",,34752.0
35816,tt5843780,River Runs Red,2018,94.0,Thriller,,65167.0
35817,tt5843838,Max 2: White House Hero,2017,85.0,Family,,72585.0
35820,tt5844196,Hal,2018,90.0,"Biography,Documentary",,49045.0
35830,tt5846628,Dark Meridian,2017,91.0,"Crime,Thriller",,5000.0
35840,tt5848272,Ralph Breaks the Internet,2018,112.0,"Adventure,Animation,Comedy","{'amount': 175000000, 'currency': 'USD'}",529323962.0
35890,tt5859238,Lucky,2017,88.0,"Comedy,Drama",,2728446.0
35968,tt5870006,Sisters,2016,102.0,Drama,"{'amount': 4000.0, 'currency': 'USD'}",105000000.0
36022,tt5881528,Damsel,2018,113.0,"Comedy,Drama,Western",,323235.0
36023,tt5881892,Elizabeth Blue,2017,95.0,Drama,,6542.0
36033,tt5883570,Bodied,2017,120.0,"Comedy,Drama,Music",,113956.0
36035,tt5884004,David Crosby: Remember My Name,2019,95.0,"Documentary,Music",,732793.0
36036,tt5884052,Pokémon Detective Pikachu,2019,104.0,"Action,Adventure,Comedy","{'amount': 150000000, 'currency': 'USD'}",433921300.0
36038,tt5884230,Brad's Status,2017,102.0,"Comedy,Drama,Music",,3816527.0
36043,tt5884784,The Super,2017,90.0,"Horror,Mystery,Thriller","{'amount': 2300000.0, 'currency': 'USD'}",19513.0
36051,tt5886046,Escape Room,2019,99.0,"Action,Adventure,Horror","{'amount': 9000000, 'currency': 'USD'}",155712077.0
36107,tt5895028,13th,2016,100.0,"Crime,Documentary,History",,566.0
36170,tt5908018,Tag,2016,76.0,Animation,"{'amount': 3000.0, 'currency': 'USD'}",78100000.0
36182,tt5910344,The House of Tomorrow,2017,85.0,"Comedy,Drama",,35821.0
36193,tt5912454,Blue Jay,2016,80.0,Drama,,21626.0
36276,tt5929750,Beatriz at Dinner,2017,82.0,"Comedy,Drama",,7425391.0
36277,tt5929754,Wildlife,2018,105.0,Drama,,3321367.0
36278,tt5929776,Before the Flood,2016,96.0,"Documentary,News",,988.0
36294,tt5932330,In Echo Park,2018,82.0,"Crime,Drama","{'amount': 60000.0, 'currency': 'USD'}",7072.0
36307,tt5933560,Permanent,2017,93.0,Comedy,,12847.0
36334,tt5936492,The Witch in the Window,2018,77.0,"Drama,Horror",,37802.0
36342,tt5937770,Tell Me How I Die,2016,107.0,"Horror,Mystery,Thriller",,235208.0
36404,tt5952138,We Have Always Lived in the Castle,2018,90.0,"Drama,Mystery,Thriller",,62567.0
36405,tt5952382,Abacus: Small Enough to Jail,2016,88.0,Documentary,,113278.0
36406,tt5952468,The B-Side: Elsa Dorfman's Portrait Photography,2016,76.0,Documentary,,125227.0
36441,tt5959952,Mission Control: The Unsung Heroes of Apollo,2017,101.0,"Documentary,History",,16405.0
36447,tt5960374,Vox Lux,2018,114.0,"Drama,Music",,1399272.0
36452,tt5962210,Ingrid Goes West,2017,98.0,"Comedy,Drama",,3146831.0
36458,tt5963314,Frank and Ava,2018,110.0,"Biography,Drama,History",,18829.0
36486,tt5968394,Captive State,2019,109.0,"Sci-Fi,Thriller","{'amount': 25000000.0, 'currency': 'USD'}",8808611.0
36509,tt5971724,Seed: The Untold Story,2016,94.0,Documentary,"{'amount': 650000.0, 'currency': 'USD'}",209752.0
36517,tt5973364,Lemon,2017,83.0,"Comedy,Drama",,29258.0
36519,tt5973626,Batman: Return of the Caped Crusaders,2016,78.0,"Action,Adventure,Animation","{'amount': 3500000.0, 'currency': 'USD'}",56711.0
36547,tt5980638,The Transcendents,2018,96.0,"Music,Mystery,Thriller","{'amount': 90000.0, 'currency': 'USD'}",2041.0
36574,tt5989218,Life Itself,2018,117.0,"Drama,Romance","{'amount': 10000000.0, 'currency': 'USD'}",7997774.0
36584,tt5990474,Columbus,2017,104.0,Drama,,1093077.0
36608,tt5994894,The 13th Friday,2017,95.0,"Horror,Thriller",,30711.0
36619,tt5996718,Hot to Trot,2018,88.0,Documentary,,3133.0
36640,tt6003368,Diary of a Wimpy Kid: The Long Haul,2017,91.0,"Comedy,Family","{'amount': 22000000, 'currency': 'USD'}",40140972.0
36662,tt6006924,The Night Before,2017,81.0,Horror,,52300000.0
36676,tt6010628,Zoe,2018,104.0,"Romance,Sci-Fi",,401912.0
36688,tt6011884,Ded Moroz. Bitva Magov,2016,117.0,"Action,Adventure,Family","{'amount': 200000000.0, 'currency': 'RUR'}",2632583.0
36691,tt6013154,Dolores,2017,95.0,"Biography,Documentary,History",,555309.0
36706,tt6014796,If the Dancer Dances,2018,90.0,Documentary,,10912.0
36707,tt6014904,The Strange Ones,2017,81.0,"Drama,Thriller",,28374.0
36727,tt6017942,Kin,2018,102.0,"Action,Drama,Sci-Fi","{'amount': 30000000.0, 'currency': 'USD'}",10313019.0
36732,tt6018306,Last Flag Flying,2017,125.0,"Comedy,Drama,War",,1872950.0
36765,tt6023560,"To Joey, with Love",2016,90.0,Documentary,,1713139.0
36779,tt6027344,Mansfield 66/67,2017,84.0,"Biography,Documentary,Musical",,19390.0
36806,tt6032328,Finding Steve McQueen,2018,91.0,"Crime,Romance","{'amount': 5500000.0, 'currency': 'USD'}",21905.0
36851,tt6043142,Skin,2018,120.0,"Biography,Drama",,135562.0
36870,tt6046314,Bel Canto,2018,100.0,"Drama,Music,Romance",,358048.0
36906,tt6052748,A Chance in the World,2017,75.0,"Biography,Drama,Family",,112007.0
36907,tt6053438,First Reformed,2017,113.0,"Drama,Mystery,Thriller",,3862498.0
36918,tt6054650,A Question of Faith,2017,104.0,Drama,,2587072.0
36925,tt6057032,Gook,2017,94.0,Drama,,251541.0
36969,tt6063014,Before I Die,2016,142.0,Horror,"{'amount': 150000.0, 'currency': 'USD'}",35841.0
36970,tt6063050,Acrimony,2018,120.0,"Drama,Romance,Thriller","{'amount': 20000000.0, 'currency': 'USD'}",46403669.0
36971,tt6063090,Light of My Life,2019,119.0,Drama,,1392898.0
36996,tt6067388,The Cat Rescuers,2018,87.0,Documentary,,31870.0
37008,tt6069162,Blue Night,2018,91.0,"Drama,Music,Romance",,61271.0
37010,tt6069264,Bitch,2017,93.0,"Comedy,Drama,Thriller",,688.0
37017,tt6071092,Imprisoned,2018,104.0,Thriller,,12050.0
37040,tt6076810,Skid Row Marathon,2017,85.0,Documentary,,84997.0
37057,tt6079516,I See You,2019,96.0,"Horror,Thriller","{'amount': 3000000.0, 'currency': 'USD'}",1194369.0
37074,tt6082798,Godspeed: The Race Across America,2016,113.0,Documentary,,96690.0
37078,tt6083146,Murder in the Woods,2017,90.0,"Horror,Mystery,Thriller",,10065.0
37114,tt6087434,Loopers: The Caddie's Long Walk,2018,80.0,"Documentary,Sport",,90679.0
37126,tt6089700,The Hatred,2017,90.0,"Drama,Horror,Mystery","{'amount': 800000.0, 'currency': 'USD'}",109227.0
37142,tt6091028,Birthright: A War Story,2017,100.0,Documentary,,7519.0
37179,tt6096340,The Lost Village,2018,89.0,Documentary,,1780.0
37184,tt6096542,In the Middle of the River,2018,113.0,Drama,,64054.0
37266,tt6101602,Madeline's Madeline,2018,93.0,"Drama,Mystery,Thriller",,197309.0
37271,tt6102104,Ride,2018,98.0,Action,,619.0
37283,tt6104206,Jackals,2017,85.0,"Horror,Thriller",,85410.0
37292,tt6105406,Charged: The Eduardo Garcia Story,2017,86.0,"Action,Adventure,Biography",,15920.0
37302,tt6107548,Late Night,2019,102.0,"Comedy,Drama","{'amount': 4000000.0, 'currency': 'USD'}",22386555.0
37329,tt6111634,Together,2018,84.0,Romance,,14880.0
37339,tt6113488,The Case for Christ,2017,112.0,"Biography,Drama","{'amount': 5000000.0, 'currency': 'USD'}",18175663.0
37352,tt6116682,The Rape of Recy Taylor,2017,91.0,"Documentary,History",,7718.0
37363,tt6118340,The Basement,2018,90.0,Horror,,4286.0
37440,tt6133130,Professor Marston and the Wonder Women,2017,108.0,"Biography,Drama",,1899615.0
37444,tt6133466,The First Purge,2018,98.0,"Action,Horror,Sci-Fi","{'amount': 13000000, 'currency': 'USD'}",137056262.0
37474,tt6140144,The Peacemaker,2016,90.0,Documentary,,4400.0
37475,tt6140148,Bullitt County,2018,98.0,"Action,Drama,Thriller",,11257.0
37504,tt6144092,En el séptimo día,2017,92.0,Drama,,79887.0
37513,tt6146586,John Wick: Chapter 3 - Parabellum,2019,131.0,"Action,Crime,Thriller","{'amount': 75000000, 'currency': 'USD'}",327281779.0
37533,tt6149390,LOVE by CHANCE,2017,105.0,Comedy,,101683.0
37539,tt6149818,Quest,2017,104.0,"Documentary,Family,Music",,50022.0
37564,tt6153962,Shadowman,2017,81.0,"Biography,Documentary",,13498.0
37569,tt6155194,Best F(r)iends: Volume 1,2017,108.0,"Comedy,Drama,Thriller","{'amount': 1500000.0, 'currency': 'USD'}",290064.0
37608,tt6159518,The Force,2017,92.0,Documentary,,59912.0
37609,tt6159520,Chasing the Blues,2017,77.0,Comedy,,14030.0
37625,tt6162762,Virginia Minnesota,2019,98.0,"Comedy,Drama",,16118.0
37632,tt6163356,Michael Moore in TrumpLand,2016,73.0,Documentary,,149090.0
37658,tt6169694,I Think We're Alone Now,2018,93.0,"Drama,Mystery,Sci-Fi",,3162.0
37666,tt6170202,Couples' Night,2018,92.0,Romance,,106875.0
37669,tt6170506,Beast of Burden,2018,89.0,"Action,Crime,Drama",,52976.0
37671,tt6170804,The Assassin's Code,2018,95.0,"Action,Thriller","{'amount': 1800000.0, 'currency': 'USD'}",53940.0
37689,tt6175486,Demons,2017,105.0,Horror,,2900.0
37691,tt6175710,Served Like a Girl,2017,103.0,Documentary,,8290.0
37699,tt6176928,Whose Streets?,2017,90.0,Documentary,,182799.0
37714,tt6182078,St. Agatha,2018,103.0,Horror,,1468454.0
37721,tt6182908,Smallfoot,2018,96.0,"Adventure,Animation,Comedy","{'amount': 80000000.0, 'currency': 'USD'}",214040103.0
37723,tt6183104,Canal Street,2018,89.0,"Drama,Thriller",,251917.0
37729,tt6184766,Devil's Pie,2019,90.0,"Biography,Documentary,Music",,33639.0
37752,tt6188658,Food Evolution,2016,92.0,Documentary,,17181.0
37784,tt6195442,Saving Brinton,2017,90.0,Documentary,,56218.0
37794,tt6197494,Malicious,2018,90.0,"Horror,Thriller","{'amount': 3500000.0, 'currency': 'USD'}",1204393.0
37823,tt6205872,Assassination Nation,2018,108.0,"Action,Comedy,Crime","{'amount': 7000000.0, 'currency': 'USD'}",2584988.0
37826,tt6205996,The Crossbreed,2017,85.0,"Horror,Thriller","{'amount': 500000.0, 'currency': 'USD'}",10864.0
37831,tt6206204,The Tree,2017,95.0,"Drama,Family","{'amount': 60000.0, 'currency': 'USD'}",2171200.0
37833,tt6207096,Wasted! The Story of Food Waste,2017,85.0,Documentary,,33211.0
37840,tt6208950,The Samuel Project,2018,92.0,Drama,,161565.0
